time,mag,magerr,band
59785.439097200055,19.15679931640625,0.0903929993510246,g
59787.41813659994,18.98909950256348,0.1288969963788986,R
59787.44025459979,18.953399658203125,0.101623997092247,g
59793.39719909988,18.734699249267575,0.0898640006780624,R
59793.43962959992,18.65060043334961,0.0841550007462501,g
59796.45163189992,18.63689994812012,0.1058600023388862,R
59802.39799770014,19.03070068359375,0.2170419991016388,g
59802.45655089989,18.77739906311035,0.1371670067310333,R
59806.44079860021,19.17490005493164,0.2572210133075714,g
59812.37740739994,19.268699645996094,0.0973659977316856,R
59812.42017359985,19.755800247192383,0.1730760037899017,g
59814.379745400045,19.32040023803711,0.1164119988679885,R
59814.41943289992,20.273099899291992,0.2590129971504211,g
59816.377442100085,19.41830062866211,0.1297419965267181,R
59818.35524309985,20.585100173950195,0.2684870064258575,g
59818.39841439994,19.35639953613281,0.1224969998002052,R
59821.36790509988,20.672800064086918,0.2893460094928741,g
59825.35718750022,19.58907890319824,0.1727385371923446,R
