time,mag,magerr,band
59853.13598380005,18.859899520874023,0.0892980024218559,g
59853.19708329998,18.94960021972656,0.0948330014944076,R
59855.22655089991,18.424699783325195,0.0875290036201477,g
59857.20341440011,18.26449966430664,0.0921420007944107,R
59859.18538190005,17.950599670410156,0.0812849998474121,g
59861.26843750011,17.960399627685547,0.0793099999427795,R
59870.14048610022,18.038000106811523,0.0609820000827312,g
59872.11978009995,18.081300735473636,0.0700529962778091,R
59872.1729282001,18.1254997253418,0.0790719985961914,g
59874.1374884001,18.194700241088867,0.0594779998064041,R
59874.18034720002,18.25379943847656,0.0888929963111877,g
59877.13743059989,18.379100799560547,0.0839110016822815,R
59877.22143519996,18.536699295043945,0.1048569977283477,g
59879.12005789997,18.572900772094727,0.0878209993243217,R
59881.12060189992,18.830699920654297,0.092968001961708,g
59881.17864579987,18.786300659179688,0.1113289967179298,R
59885.15888890019,19.07010078430176,0.1814610064029693,g
59895.10407410003,18.943500518798828,0.1081900000572204,R
59897.14078699984,20.00860023498535,0.3234860002994537,g
59905.13614579989,19.32232666015625,0.148685947060585,R
