time,mag,magerr,band
59468.175451400224,19.73419952392578,0.1507232934236526,g
59470.15209490014,19.57636070251465,0.1627601683139801,R
59470.21618060023,19.261737823486328,0.1040478944778442,g
59473.16660880018,19.03829765319824,0.0977979302406311,R
59477.15349540021,18.620439529418945,0.0977026298642158,g
59479.14065970015,18.833250045776367,0.1199246495962143,R
59479.162476900034,18.685426712036133,0.1014216393232345,g
59483.15776620014,18.67100524902344,0.090605728328228,R
59485.18521990022,18.766626358032227,0.1246437132358551,g
59487.14550929982,18.771238327026367,0.0928408131003379,R
59489.19479170023,18.97470092773437,0.1050650030374527,g
59512.11921299994,19.86944007873535,0.1514067202806472,R
