time,mag,magerr,band
59473.41988429986,19.3286247253418,0.1248908787965774,R
59476.26900460012,18.50265312194824,0.0949653759598732,g
59478.23612269992,18.077072143554688,0.0738625451922416,R
59478.312905100174,18.165964126586918,0.1041400730609893,g
59480.25421300018,17.814950942993164,0.0507254265248775,R
59480.32270829985,17.91301918029785,0.0849423557519912,g
59488.20391200017,17.735393524169922,0.0445239767432212,R
59488.236296299845,18.555404663085938,0.0656275451183319,g
59494.19714119984,18.224693298339844,0.0902065932750701,R
59498.221203700174,19.96245384216309,0.1918807923793792,g
59526.12812499981,20.26816177368164,0.1920267641544342,R
