time,mag,magerr,band
58688.31422450021,19.116100311279297,0.1007060036063194,g
58688.35615740018,18.853200912475582,0.1393129974603653,R
58691.31348379981,19.199199676513672,0.0935140028595924,g
58698.400358799845,18.710599899291992,0.1217710003256797,R
58702.33150460012,19.42020034790039,0.1124529987573623,g
58711.292963000014,18.94050025939941,0.1302829980850219,R
58714.24829859985,19.71949958801269,0.1901929974555969,g
58714.34212959977,18.95249938964844,0.1144270002841949,R
58717.241215299815,20.05780029296875,0.2025000005960464,g
58717.3050694,18.910400390625,0.1201710030436515,R
58720.262604199816,20.096599578857425,0.2689779996871948,g
58720.32533559995,19.02330017089844,0.1043429970741272,R
58726.24643519986,20.11529922485352,0.258648008108139,g
58751.127071800176,19.317630767822266,0.1381765305995941,R
