time,mag,magerr,band
60159.45438659983,18.394399642944336,0.0942249968647956,g
60162.45340280002,18.16939926147461,0.0671660006046295,R
60165.38568289997,17.977500915527344,0.1539389938116073,g
60169.45259260014,18.14929962158203,0.0553029999136924,R
60171.38679399993,18.45560073852539,0.0824979990720748,g
60174.38096059999,18.16029930114746,0.0626600012183189,R
60174.45296300016,18.54840087890625,0.06751299649477,g
60179.40643520001,18.17650032043457,0.0710270032286644,R
60181.38407409983,18.823299407958984,0.0714619979262352,g
60181.47769680014,18.250999450683597,0.0541700012981891,R
60183.452974500135,18.88409996032715,0.0810709968209266,g
60185.364988400135,18.34129905700684,0.0759190022945404,R
60185.46620369982,18.84280014038086,0.0992740020155906,g
60187.45033559995,18.33760070800781,0.0899849981069564,R
60192.36401619995,19.1914005279541,0.1694580018520355,g
60192.44532410009,18.45929908752441,0.0560499988496303,R
60195.40521989996,19.37849998474121,0.1439419984817505,g
60200.459710599855,18.54129981994629,0.0541840009391307,R
60200.48974539992,19.58390045166016,0.1198130026459693,g
60201.42994209984,18.499000549316406,0.0739319995045661,R
60202.431886599865,19.728700637817383,0.1779090017080307,g
60202.49094909988,18.61079978942871,0.065260000526905,R
60203.4094560002,19.53700065612793,0.1399980038404464,g
60204.424444399774,18.56319999694824,0.0573109984397888,R
60205.35142360022,19.556900024414062,0.1668930053710937,g
60205.42824070016,18.5718994140625,0.0759700015187263,R
60206.399803199805,19.68099975585937,0.1284350007772445,g
60206.42275460018,18.622800827026367,0.0681279972195625,R
60207.45046300022,19.72830009460449,0.1639160066843032,g
60211.43761570007,18.662599563598636,0.0791470035910606,R
60212.42587959999,19.73270034790039,0.1080889999866485,g
60212.44666669984,18.680599212646484,0.070762000977993,R
60213.44484949997,19.5851993560791,0.1409070044755935,g
60213.466805600096,18.628700256347656,0.0716819986701011,R
60214.47340280004,19.999799728393555,0.1784979999065399,g
60215.42519679992,18.719200134277344,0.0967340022325515,R
60215.501817100216,20.01679992675781,0.3458029925823211,g
60221.3229398001,18.735200881958008,0.1079339981079101,R
60223.31487269979,19.795000076293945,0.2723599970340729,g
60223.48093750002,18.769100189208984,0.0891930013895034,R
60231.30884259986,20.464799880981445,0.2597430050373077,g
60231.4126968002,18.93239974975586,0.0725869983434677,R
60233.43743060017,20.28009986877441,0.2054450064897537,g
60233.44973379979,18.944900512695312,0.0764890015125274,R
60235.38613429992,20.397300720214844,0.2506609857082367,g
60235.43296300015,18.93989944458008,0.102522000670433,R
60237.27984949993,20.430500030517575,0.2189520001411438,g
60239.40306709986,18.94860076904297,0.0879810005426406,R
60239.47189809987,20.27300071716309,0.2532820105552673,g
60263.367928199936,20.03598022460937,0.1945220828056335,R
