time,mag,magerr,band
58681.194085599855,19.96190071105957,0.2856769859790802,g
58684.17703700019,18.95669937133789,0.0969080030918121,R
58684.22937500011,18.631000518798828,0.0826710015535354,g
58694.2078009001,17.58650016784668,0.0539849996566772,R
58694.22687500017,17.529199600219727,0.0601009987294673,g
58705.180081000086,17.917200088500977,0.0746639966964721,R
58708.17759260023,18.356800079345703,0.0730770006775856,g
58714.35042819986,18.35110092163086,0.1125390008091926,R
58723.18541669985,19.12380027770996,0.12083700299263,g
58723.33193290001,18.54050064086914,0.104723997414112,R
58726.151284699794,19.31290054321289,0.1223720014095306,g
58734.14365739981,18.794300079345703,0.1050869971513748,R
58737.13082179986,19.427099227905277,0.1520549952983856,g
58737.18546300009,18.725500106811523,0.1100289970636367,R
58740.12497689994,19.750999450683597,0.258556991815567,g
58740.26443290012,18.967199325561523,0.2199620008468628,R
58758.14363430021,20.33060073852539,0.2972699999809265,g
58761.12046300015,19.40990829467773,0.1762376874685287,R
