time,mag,magerr,band
59369.19167819992,19.379972457885746,0.1000599116086959,R
59369.24921299983,19.619962692260746,0.0997801274061203,g
59371.21326390002,18.961400985717773,0.0737604200839996,R
59373.26090280013,19.104698181152344,0.0808766633272171,g
59375.24732640013,18.791166305541992,0.0875849798321724,R
59375.27726850007,19.101287841796875,0.0879357904195785,g
59377.22936340002,18.884143829345703,0.0846861451864242,R
59377.31240739999,19.312543869018555,0.1026333421468734,g
59379.23559030006,19.02820205688477,0.1047722771763801,R
59379.29071759991,19.54299545288086,0.1540261059999466,g
59393.19141199999,20.223100662231445,0.2017728388309478,R
