time,mag,magerr,band
60161.430983799975,18.959199905395508,0.151757001876831,g
60162.34858800005,19.084400177001957,0.1116470023989677,R
60168.38060190016,18.63349914550781,0.0813010036945343,g
60169.33009260008,18.994199752807617,0.0756269991397857,R
60170.3680786998,18.685199737548828,0.0665730014443397,g
60170.37866900023,18.67799949645996,0.0665939971804618,R
60171.37883100007,18.83989906311035,0.0831490010023117,g
60171.40072919987,18.803800582885746,0.0811680033802986,R
60174.342442099936,18.87649917602539,0.0880979970097541,g
60174.37483800016,18.948699951171875,0.0780989974737167,R
60181.35583329992,19.664899826049805,0.1212849989533424,g
60183.37635419984,19.371000289916992,0.1359499990940094,R
60183.40141199995,19.795700073242188,0.149724006652832,g
60185.34853010019,19.40049934387207,0.1505769938230514,R
60185.423240699805,19.74930000305176,0.2806990146636963,g
60204.395671300124,20.254100799560547,0.175836443901062,R
