time,mag,magerr,band
60108.4457291998,19.057600021362305,0.0774580016732215,R
60110.41256939992,18.74250030517578,0.079196996986866,g
60110.446898099966,18.703500747680664,0.0536920018494129,R
60116.41329859989,18.16340065002441,0.0679109990596771,g
60116.45468749991,18.06439971923828,0.0446569994091987,R
60119.43405089993,18.07570075988769,0.0502169989049434,g
60119.454421299975,17.944000244140625,0.0532950013875961,R
60121.41340279998,18.10169982910156,0.0628189966082573,g
60121.45516199991,17.904699325561523,0.0485780015587806,R
60123.40425929986,18.143600463867188,0.0573810003697872,g
60123.45592590002,17.903200149536133,0.0508849993348121,R
60125.38284720015,18.20669937133789,0.0562799982726573,g
60125.452372699976,17.8799991607666,0.0404530018568038,R
60135.4111227002,18.80279922485352,0.0809599980711937,g
60135.425821799785,18.0216007232666,0.0357370004057884,R
60137.37317130016,18.889299392700195,0.089038997888565,g
60139.39467590023,18.09499931335449,0.0437740013003349,R
60139.45487269992,18.99489974975586,0.0691400021314621,g
60144.38273150008,18.268600463867188,0.05859300121665,R
60144.42535880022,19.27569961547852,0.0859230011701583,g
60148.38754629996,18.362699508666992,0.0670349970459938,R
60148.43427080009,19.40780067443848,0.0901319980621337,g
60150.38545140019,18.389799118041992,0.0494539998471736,R
60152.45859949989,19.763500213623047,0.1279959976673126,g
60157.42895830004,18.592100143432617,0.0876249969005584,R
60160.38254630007,20.065900802612305,0.2735939919948578,g
60163.40281250002,18.81100082397461,0.0644560009241104,R
60163.44645830011,20.110700607299805,0.1967989951372146,g
60168.34716439992,18.96339988708496,0.0707430019974708,R
60170.36048609996,20.244600296020508,0.1465760022401809,g
60173.325949099846,18.987499237060547,0.0760940015316009,R
60179.3375116,20.28809928894043,0.1750800013542175,g
60179.36716439994,19.14940071105957,0.0776090025901794,R
60181.362094900105,20.59079933166504,0.2287999987602234,g
60185.33976850007,19.090599060058597,0.107755996286869,R
60185.472939800005,20.48699951171875,0.3199320137500763,g
60187.39851849992,19.303600311279297,0.2045180052518844,R
60194.28903939994,20.401100158691406,0.1503079980611801,g
60194.32855319977,19.2987003326416,0.0951799973845481,R
60200.39061339991,20.556900024414062,0.1930460035800933,g
60200.42259259988,19.351900100708008,0.0866039991378784,R
60202.22262729984,20.44029998779297,0.2120400071144104,g
60202.26034720009,19.429399490356445,0.1170699968934059,R
60204.34677080018,20.50830078125,0.1989209949970245,g
60206.21945599979,19.41279983520508,0.0901229977607727,R
60206.30569439987,20.567100524902344,0.191893994808197,g
60209.278483800124,19.47100067138672,0.105784997344017,R
60212.29890049994,20.76259994506836,0.3400059938430786,g
60224.2411342999,19.65679931640625,0.1257580071687698,R
60224.26761570014,20.936899185180664,0.2697440087795257,g
60227.267569399904,19.70050048828125,0.1095490008592605,R
60230.26706020022,20.942800521850582,0.2567310035228729,g
60232.17635420011,19.783700942993164,0.1222969964146614,R
60232.2434605998,21.032100677490234,0.3425900042057037,g
60234.1615394,19.772499084472656,0.1073110029101371,R
60234.21856479999,20.844900131225582,0.2161480039358139,g
60236.15906250011,19.863800048828125,0.1245450004935264,R
60236.20515049994,20.986400604248047,0.3144550025463104,g
60242.20396990003,19.569599151611328,0.1790170073509216,R
60250.15197920008,20.993099212646484,0.3388699889183044,g
60252.16055560019,19.8523006439209,0.1413519978523254,R
60252.20273149992,21.03840065002441,0.313728004693985,g
60254.134733799845,20.047399520874023,0.143556997179985,R
60254.16388890008,21.113500595092773,0.2950010001659393,g
60268.14618059993,19.85702896118164,0.1951621174812317,R
