time,mag,magerr,band
59747.34909720021,18.125200271606445,0.0748224556446075,R
59749.27450230019,18.129493713378903,0.0687131583690643,g
59751.27435189998,17.655763626098633,0.0608653016388416,R
59753.27868060023,17.747089385986328,0.0579573102295398,g
59753.33083330002,17.412160873413086,0.0537353903055191,R
59756.27461809991,17.727561950683594,0.0480496287345886,g
59758.25355320005,17.43270492553711,0.0523935444653034,R
59760.23303239979,17.826400756835938,0.0527709983289241,g
59762.256215299945,17.57990074157715,0.0392629988491535,R
59764.23431710014,17.98710060119629,0.053236000239849,g
59766.23450230016,17.865400314331055,0.0608749985694885,R
59771.31535879988,18.679000854492188,0.1175070032477378,g
59779.22851849999,18.31719970703125,0.0804169997572898,R
59783.27577550011,19.855600357055664,0.1773660033941269,g
59785.18906249991,18.56180000305176,0.0629630014300346,R
59785.21296299994,19.913000106811523,0.1781280040740966,g
59789.21263890015,18.94230079650879,0.1015499979257583,R
59794.2179744998,20.36479949951172,0.2591579854488373,g
59806.19724539993,19.46566200256348,0.1677444726228714,R
