time,mag,magerr,band
60020.355509299785,19.56290054321289,0.1530079990625381,R
60032.29606480012,19.178699493408203,0.1524589955806732,g
60044.22946760012,19.311899185180664,0.1700550019741058,R
60046.25153939985,19.25909996032715,0.1305910050868988,g
60050.29187500011,19.280799865722656,0.1302399933338165,R
60052.256863399874,19.103599548339844,0.1360819935798645,g
60054.32916670013,19.21839904785156,0.1557859927415847,R
60056.27370369993,19.21269989013672,0.1755300015211105,g
60058.26935190009,19.37150001525879,0.1480749994516372,R
60060.252696800046,19.14389991760254,0.1887069940567016,g
60060.29440970021,19.246999740600582,0.2003010064363479,R
60062.26178239984,19.30909919738769,0.1519210040569305,g
60062.29453699989,19.260299682617188,0.1713580042123794,R
60073.27270830004,19.31170082092285,0.179066002368927,g
60080.21789349988,19.244800567626957,0.1432649940252304,R
60080.27050929982,19.16519927978516,0.1407559961080551,g
60084.22604170023,19.41469955444336,0.1382910013198852,R
60086.247824099846,19.21619987487793,0.1239470019936561,g
60088.25254630018,19.19659996032715,0.1285299956798553,R
60088.29526619986,19.24659919738769,0.1149879992008209,g
60093.21327550011,19.372800827026367,0.1659000068902969,R
60105.2113541998,19.24970054626465,0.1539060026407241,g
60112.19038189994,19.436899185180664,0.1862230002880096,R
60112.215173599776,19.53089904785156,0.2276230007410049,g
60114.232731500175,19.137584686279297,0.1221655532717704,R
