time,mag,magerr,band
58547.41379630007,18.56889915466309,0.0823300033807754,g
58567.38363429997,19.02519989013672,0.1248089969158172,R
58572.38717589993,19.46260070800781,0.1316979974508285,g
58572.4196295999,19.173900604248047,0.1062629967927932,R
58575.33368059993,19.600500106811523,0.1075540035963058,g
58575.38035879983,19.284799575805664,0.1468320041894912,R
58580.30442130007,19.67959976196289,0.1619150042533874,g
58583.33131940011,19.39579963684082,0.1238150000572204,R
58583.36479170015,19.707000732421875,0.1883060038089752,g
58586.34078700002,19.366300582885746,0.1127310022711753,R
58586.40431710007,19.99180030822754,0.1574970036745071,g
58593.30780090019,19.42329978942871,0.2262759953737259,R
58596.23615740007,20.188499450683597,0.1726980060338974,g
58606.3000115999,19.42840003967285,0.1099079996347427,R
58606.40042820014,20.1742000579834,0.1612109988927841,g
58608.26528939977,19.46339988708496,0.1819240003824234,R
58616.2561458,20.096599578857425,0.2195789963006973,g
58632.26715280023,19.53400039672852,0.1086260005831718,R
58638.19241899997,20.36199951171875,0.2121450006961822,g
58638.24062500009,19.61549949645996,0.1056170016527175,R
58641.20328699984,20.81410026550293,0.23225699365139,g
58660.22459489992,20.43806266784668,0.1732943058013916,R
