time,mag,magerr,band
59422.44231479988,19.794700622558597,0.2790049910545349,g
59424.37957180012,19.3458251953125,0.119055800139904,R
59426.374548600055,19.162242889404297,0.1166630163788795,g
59426.40434029978,19.20297241210937,0.0927379503846168,R
59428.32541669998,19.10369873046875,0.1091608181595802,g
59430.37224540021,18.98110580444336,0.0754179209470748,R
59430.40244209999,18.986337661743164,0.0855284556746482,g
59435.37407410005,18.92972183227539,0.0842959135770797,R
59435.40337960003,19.10688018798828,0.0893271788954734,g
59438.34035879979,19.046300888061523,0.2841610014438629,R
59440.40378470021,19.289142608642575,0.1053974404931068,g
59443.31203699997,19.169898986816406,0.139334961771965,R
59443.337858799845,19.57411766052246,0.191249206662178,g
59446.36891200021,19.357105255126957,0.1452737003564834,R
59446.44938659994,19.930299758911133,0.2290749996900558,g
59453.32467589993,19.422813415527344,0.1321194618940353,R
59453.38211809984,20.62350082397461,0.3220930099487304,g
59459.26993060019,19.80635643005371,0.1382128894329071,R
59459.29833329981,21.04170036315918,0.269432008266449,g
59467.37346060015,20.424222946166992,0.1986659169197082,R
