time,mag,magerr,band
59819.16089119995,18.15069961547852,0.0537450015544891,g
59819.1990278,18.203800201416016,0.0747999995946884,R
59821.16512730019,17.965299606323242,0.057727001607418,g
59821.24856479978,17.95560073852539,0.0578229986131191,R
59823.32436340023,17.829099655151367,0.0704279989004135,g
59823.3405439998,17.879899978637695,0.0755689963698387,R
59825.289583299775,17.812599182128906,0.0522189997136592,g
59825.33989580022,17.774599075317383,0.0545190013945102,R
59827.28005790012,17.861600875854492,0.0778030008077621,g
59827.32309029997,17.68320083618164,0.0897250026464462,R
59840.30547450017,18.079599380493164,0.065759003162384,g
59842.22464120016,17.626399993896484,0.0711620002985,R
59844.237222199794,18.134300231933597,0.0887100026011467,g
59844.28327549994,17.6117000579834,0.0681670010089874,R
59847.15619210014,18.193300247192383,0.0717850029468536,g
59849.12989579979,17.665300369262695,0.0759679973125457,R
59849.21793980012,18.313600540161133,0.0606129989027977,g
59851.13125000009,17.695600509643555,0.0493710003793239,R
59851.19606480002,18.233800888061523,0.0938450023531913,g
59853.24844910018,17.651599884033203,0.0734540000557899,R
59855.2432407001,18.28459930419922,0.0656440034508705,g
59857.20246529998,17.63909912109375,0.080485999584198,R
59859.20574070001,18.328399658203125,0.1116409972310066,g
59865.13209490013,17.711999893188477,0.0578689984977245,R
59867.13956019981,18.442699432373047,0.0776040032505989,g
59867.17788190022,17.72640037536621,0.0606780014932155,R
59870.13896990009,18.486499786376957,0.0759190022945404,g
59874.13890049979,17.72610092163086,0.077114999294281,R
59874.20734950015,18.534799575805664,0.1031109988689422,g
59877.14197919984,17.74180030822754,0.0711290016770362,R
59877.239699100144,18.53569984436035,0.1324650049209594,g
59879.13589120004,17.76919937133789,0.0814250037074089,R
59881.1356366002,18.612499237060547,0.0707560032606124,g
59883.11497690016,17.813800811767578,0.0676549971103668,R
59894.18313660007,18.77569961547852,0.1543799936771392,g
59896.114143500105,17.936199188232422,0.0636480003595352,R
59898.11178239994,18.88349914550781,0.088137000799179,g
59902.13576389989,18.152099609375,0.1123329997062683,R
59902.18236109987,19.111099243164062,0.1673610061407089,g
59904.111574099865,18.15369987487793,0.0692740008234977,R
59904.13894680003,19.08650016784668,0.1373949944972992,g
59909.12921300018,18.331199645996094,0.0889410004019737,R
59913.12209489988,19.647899627685547,0.2975510060787201,g
60020.47517360002,20.190824508666992,0.2010183036327362,R
