time,mag,magerr,band
59412.4091897998,19.19678497314453,0.083612360060215,R
59422.28872689977,19.20339012145996,0.2030131518840789,g
59422.415370400064,18.33944320678711,0.0750597268342971,R
59424.304213,18.996248245239254,0.1123419180512428,g
59424.36523150001,18.290393829345703,0.0599281303584575,R
59428.32211809978,18.994829177856445,0.1038281992077827,g
59428.361319399904,18.14617729187012,0.0486318618059158,R
59430.32033560006,18.949047088623047,0.0879032835364341,g
59430.34288189979,18.139257431030277,0.0409903638064861,R
59435.38077550009,19.07729148864746,0.0936570018529892,g
59438.32409719983,18.209518432617188,0.0746765956282615,R
59440.27690970013,19.358299255371094,0.1594949960708618,g
59448.273842600174,18.66991806030273,0.1132013127207756,R
59453.21690970007,20.21791076660156,0.2048087120056152,g
59453.278553199954,18.889036178588867,0.0729332119226455,R
59455.23781249998,20.225879669189453,0.1837015599012375,g
59459.23819439998,19.20713424682617,0.0884043723344802,R
59461.23697920004,20.41580009460449,0.2227910012006759,g
59461.276134300046,19.17318725585937,0.0859442204236984,R
59463.24003469991,20.398971557617188,0.1723680794239044,g
59465.19648149982,19.3732852935791,0.1036125570535659,R
59467.21331019979,20.370285034179688,0.194656640291214,g
59469.196620400064,19.50502014160156,0.1194662451744079,R
59469.25310190022,20.474925994873047,0.200738176703453,g
59471.2488425998,19.522890090942383,0.1588699519634246,R
59471.27724540001,20.48419952392578,0.2337799966335296,g
59480.25516200019,19.601947784423828,0.2077360302209854,R
59484.20468749991,20.84670066833496,0.2556999921798706,g
59484.22872690018,19.768972396850582,0.1295622885227203,R
59488.24196759984,20.556299209594727,0.2958720028400421,g
59517.13024310023,20.358306884765625,0.1387016177177429,R
59517.16930560023,20.982799530029297,0.2767179906368255,g
59524.08915509982,20.43873786926269,0.1926277428865432,R
